run,epoch,train_loss,val_acc,lr,dropout,conv_filters,fc_neurons,batchnorm
1,1,2.0834132686990205,35.333333333333336,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,2,1.728330313182268,33.77777777777778,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,3,1.6301143286658115,42.22222222222222,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,4,1.5215672782210052,48.666666666666664,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,5,1.4610804925199414,45.111111111111114,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,6,1.3433362323729718,52.0,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,7,1.3232880635339705,55.55555555555556,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,8,1.3494048919834074,54.22222222222222,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,9,1.2681010160289827,56.22222222222222,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
1,10,1.205261483544209,56.44444444444444,0.005058216921893131,0.36534201099633756,"(16, 32, 64)",256,False
2,1,2.7335675524883585,23.77777777777778,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,2,2.0814467277683195,23.333333333333332,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,3,1.9884790357996205,29.333333333333332,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,4,1.8988763875648624,31.77777777777778,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,5,1.8625269659229966,34.22222222222222,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,6,1.7578711646502134,39.77777777777778,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,7,1.6896482569272402,36.666666666666664,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,8,1.6072802543640137,39.55555555555556,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,9,1.6276691819800706,41.77777777777778,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
2,10,1.5523162708907832,44.0,0.00615255117556673,0.4820356625968427,"(32, 64, 128)",128,False
3,1,2.1648430433429655,27.333333333333332,0.004265093723896187,0.1731477681214571,"(32, 64, 128)",256,False
